Begriff;Definition
Vertäfelung;Holzverkleidung von Wänden oder Decken, oft mit dekorativem Charakter
Massivholz;Vollholz, das aus einem durchgehenden Stück eines Baumstamms gefertigt ist
Furnier;Dünne Holzschicht, die auf Trägermaterial (z. B. MDF) aufgeleimt wird
MDF;Mitteldichte Faserplatte, formstabil und häufig als Trägermaterial verwendet
Profilleiste;Leiste mit geformtem Querschnitt zur Zierde oder zum Abschluss von Vertäfelungen
Gesims;Kräftig ausgeformtes waagerechtes Zierprofil im oberen Wandbereich
Stabprofil;Schmale, oft senkrechte Leiste zur Gliederung der Vertäfelung
Zarge;Rahmenkonstruktion rund um eine Tür oder ein Wandfeld
Anleimer;Abschlussleiste oder sichtbarer Deckstreifen zur Kaschierung von Schnittkanten
Montageclip;Verdecktes Befestigungselement für eine unsichtbare Montage
Fase;Abgeschrägte Kante zur optischen Trennung und als Zierde
Grundriss;Maßstabsgetreue Darstellung eines Raums von oben
Visualisierung;3D-Modell zur Darstellung einer geplanten Vertäfelung im Raum
Anzahlung;Teilbetrag zur Absicherung der Auftragsannahme vor Produktionsbeginn
Laufmeter;Maßeinheit für Länge – wichtig für Kalkulation und Angebot
